cargo_id;cargo_type;qty_mt;destination;priority;earliest_date;latest_date;vessel_preference;remarks
CRG_01;SFO;5000;OYA;1;2025-04-01;2025-04-10;BRG_01;Первый рейс сезона
CRG_02;SFO;5300;OYA;1;2025-04-05;2025-04-15;BRG_02;
CRG_03;SFO;5000;OYA;2;2025-04-10;2025-04-20;BRG_03;
CRG_04;RPO;5000;OYA;2;2025-04-12;2025-04-22;BRG_04;Рапсовое масло
CRG_05;SFO;5300;OYA;1;2025-04-18;2025-04-28;BRG_01;Второй рейс BRG_01
CRG_06;SFO;5300;OYA;1;2025-04-22;2025-05-02;BRG_02;Второй рейс BRG_02
CRG_07;SFO;5000;OYA;1;2025-05-01;2025-05-10;BRG_03;
CRG_08;SFO;5000;OYA;2;2025-05-05;2025-05-15;BRG_04;
CRG_10;MEAL;3500;TUR;1;2025-04-05;2025-04-15;DRY_01;Подсолнечный шрот
CRG_11;MEAL;4000;TUR;1;2025-04-10;2025-04-20;DRY_02;
CRG_12;PELLETS;3000;TUR;2;2025-04-15;2025-04-25;DRY_03;Пеллеты
CRG_13;MEAL;2500;TUR;2;2025-04-20;2025-04-30;DRY_04;
CRG_14;MEAL;3500;TUR;1;2025-04-25;2025-05-05;DRY_01;Второй рейс DRY_01
CRG_15;MEAL;4000;TUR;1;2025-05-01;2025-05-10;DRY_02;
CRG_16;PELLETS;3000;TUR;2;2025-05-05;2025-05-15;DRY_03;
